model_id,source_dataset,n,accuracy_mean,accuracy_sample_sd,macro_f1_mean,macro_f1_sample_sd,seeds
c3d,hockey,136,0.9460784313725489,0.02971655797299545,0.945915821830244,0.02976146738657281,50900;50901;50902
c3d,movies2,293,0.8714448236632538,0.024213648070298955,0.871034164104631,0.02456565839841213,50900;50901;50902
c3d,rwf2000,27,0.7160493827160493,0.042766686606638946,0.6116322701688556,0.058493273051106534,50900;50901;50902
c3d,surv_fight,37,0.6936936936936937,0.015604061329449376,0.6918063687791092,0.01592562161878448,50900;50901;50902
c3d,violent_flows,33,0.7474747474747474,0.04628864338339229,0.7368662564740996,0.056843608127371714,50900;50901;50902
i3d,hockey,136,0.9656862745098039,0.004245222567570763,0.9656180164032747,0.0042547299767401354,50900;50901;50902
i3d,movies2,293,0.9783845278725826,0.005213396695057807,0.9783730455946786,0.005217503048662747,50900;50901;50902
i3d,rwf2000,27,0.7654320987654321,0.021383343303319504,0.6369374811235277,0.039325006894130966,50900;50901;50902
i3d,surv_fight,37,0.8378378378378378,0.0,0.8354691876750701,0.0011219516785723371,50900;50901;50902
i3d,violent_flows,33,0.9393939393939394,0.03030303030303033,0.9393753713606655,0.03030304736923258,50900;50901;50902
josenet,hockey,136,0.8725490196078431,0.055675572017649735,0.8699991608415704,0.05873938219543834,50900;50901;50902
josenet,movies2,293,0.8077360637087599,0.012921293164505743,0.8051891505218625,0.014495960996106642,50900;50901;50902
josenet,rwf2000,27,0.7654320987654321,0.09320783253420681,0.6801728759045832,0.12367356365317378,50900;50901;50902
josenet,surv_fight,37,0.7657657657657658,0.041284465720322905,0.7647471809236516,0.041842072376778186,50900;50901;50902
josenet,violent_flows,33,0.6666666666666666,0.05248638810814781,0.64289906177645,0.066955230591892,50900;50901;50902
resnet_lstm,hockey,136,0.9681372549019608,0.018504496164879335,0.9679207024712989,0.01863174507822835,50900;50901;50902
resnet_lstm,movies2,293,0.9590443686006825,0.0059114362033067715,0.9590441830728894,0.005911757546870751,50900;50901;50902
resnet_lstm,rwf2000,27,0.7654320987654321,0.0565750085797017,0.6392781636967684,0.07187054493587515,50900;50901;50902
resnet_lstm,surv_fight,37,0.6756756756756758,0.04681218398834807,0.6752930779246569,0.046722411275746514,50900;50901;50902
resnet_lstm,violent_flows,33,0.9292929292929294,0.017495462702715982,0.929144076985633,0.01765680013069589,50900;50901;50902
slowfast,hockey,136,0.9901960784313726,0.004245222567570763,0.9901478698409432,0.004272703339057264,50900;50901;50902
slowfast,movies2,293,0.969283276450512,0.012305635752436837,0.9692369480829651,0.012376742086175861,50900;50901;50902
slowfast,rwf2000,27,0.8024691358024691,0.021383343303319438,0.6470123377352902,0.07925198096534579,50900;50901;50902
slowfast,surv_fight,37,0.8378378378378378,0.0,0.8338203463203463,0.0017339253214299173,50900;50901;50902
slowfast,violent_flows,33,0.9292929292929294,0.07626095389162373,0.9285212570582754,0.07745580493035917,50900;50901;50902
swin3d,hockey,136,0.9730392156862745,0.0278377860088249,0.9727864215127376,0.028163708674586955,50900;50901;50902
swin3d,movies2,293,0.9704209328782708,0.016129063570828023,0.9704150191191823,0.01612365366250774,50900;50901;50902
swin3d,rwf2000,27,0.7901234567901234,0.021383343303319438,0.658816425120773,0.09535136972222527,50900;50901;50902
swin3d,surv_fight,37,0.8198198198198199,0.05626124322881439,0.816624613441005,0.05946482048516715,50900;50901;50902
swin3d,violent_flows,33,0.9090909090909092,0.06060606060606061,0.9069123781767461,0.06320008172701098,50900;50901;50902
